Seq,Child,Parent,Part_Number,Qty,Fastener,Fastener_Qty,Status,Notes
,,,,,,,,
1,Pillar assy,ROOT,,,,,NOT_STARTED,Final assembly
,,,,,,,,
1.1,Pillar body assy,Pillar assy,,,,,IN_PROGRESS,Major sub-assembly
1.2,Vertical rail 1,Pillar assy,SHS20V2UU+2540L-II,1,CBE6-20,6,DONE,
1.3,Spacer plate,Pillar assy,,2,CBE4-8,8,DONE,
1.4,Vertical rail 2,Pillar assy,SHS20V2UU+2540L-II,1,CBE6-20,6,DONE,
1.5,Stopper block,Pillar assy,,2,CBE6-20,4,IN_PROGRESS,
1.6,Angle bracket,Pillar assy,,2,,,NOT_STARTED,
,,,,,,,,
1.1.1,Pillar,Pillar body assy,TH25-2090-HV-EH-OB2-C-N-N-4381264,1,,,DONE,
1.1.2,Coupling,Pillar body assy,5P-788557-626140,1,Original,,DONE,
1.1.3,Coupling cover,Pillar body assy,TL010-0002-0023-7 IPS,1,Original,,DONE,
1.1.4,Motor mounting plate,Pillar body assy,5P-788557-626418 / MEPMC-4C2-3651S,1,CBE5-15,4,IN_PROGRESS,
1.1.5,Motor,Pillar body assy,ABR060-006-S2-P2,1,CBE5-15,4,NOT_STARTED,
1.1.6,Side strips,Pillar body assy,Come with pillar,2,MSSF5-6,8,DONE,
1.1.7,Top strips,Pillar body assy,,2,MSSK5-8,4,DONE,
1.1.8,Pillar cover,Pillar body assy,,1,"CBST6-25, CBE6-18",6,BLOCKED,Waiting for vendor
1.1.9,Stopper block,Pillar body assy,,1,CBE6-20,4,NOT_STARTED,
1.1.10,Stopper angle bracket,Pillar body assy,,1,,,NOT_STARTED,
1.1.11,Dead weight carrier (for trail),Pillar body assy,,1,,,IN_PROGRESS,
,,,,,,,,
1.1.11.1,I-bolt,Dead weight carrier (for trail),,2,,,DONE,
